번호,서명,저자,출판사,출판년
68,내 이름은 삐삐 롱스타킹,아스트리드 린드그렌 글 ; 롤프 레티시 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
69,내 이름은 에이프릴,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
70,내 친구 꼬마거인,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
71,내 친구 꼬마거인,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
72,내 친구 윈딕시,케이트 디카밀로 글 ; 송재호 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
73,내 친구는 천사 병동에 있다,이옥수 글 ; 김중석 그림,시공주니어,2006
74,내가 어렸을 때에,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 장영은 옮김,시공주니어,2008
75,너네 엄마는 네안데르탈인,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
76,뉴욕에 간 귀뚜라미 체스터,조지 셀던 톰프슨 글 ; 가스 윌리엄즈 그림 ; 김연수 옮김,시공주니어,2008
77,다락방의 불빛,쉘 실버스타인 글·그림 ; 신형건 옮김,보물창고,2007
78,다람쥐가 보낸 편지,톤 텔레헨 글 ; 악셀 셰플러 그림 ; 김영진 옮김,비룡소,2006
79,도깨비 아부지,이상배 글 ; 한태희 그림,국민서관,2007
80,"도서관에 가지 마, 절대로",이오인 콜퍼 글 ; 토니 로스 그림 ; 이윤선 옮김,국민서관,2007
81,동물 회의,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2007
82,동물대장 엉걸이,서석영 지음 ; 한지희 그림,시공주니어,2007
83,동화책을 먹은 바둑이,노경실 지음 ; 김명심 외 그림,사계절,2006
84,또 한번의 전학,김혜리 글 ; 장선환 그림,시공주니어,2008
85,똥 싼 할머니,이옥수 글 ; 김병호 그림,시공주니어,2008
86,똥 싼 할머니,이옥수 글 ; 김병호 그림,시공주니어,2008
87,라스무스와 방랑자,아스트리드 린드그렌 글 ; 호르스트 렘케 그림 ; 문성원 옮김,시공주니어,2008
88,라스무스와 폰투스,아스트리드 린드그렌 글 ; 호르스트 렘케 그림 ; 문성원 옮김,시공주니어,2008
89,랄프는 똑똑해,비벌리 클리어리 글 ; 풀 오 젤린스키 그림 ; 김영선 옮김,시공주니어,2007
90,랄프와 오토바이,비벌리 클리어리 글 ; 루이스 달링 그림 ; 지혜연 옮김,시공주니어,2007
91,로테와 루이제,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2007
92,리지 입은 지퍼 입,재클린 윌슨 글 ; 닉 나샤랫 그림 ; 지혜연 옮김,시공주니어,2007
93,마루 밑 바로우어즈,메리 노튼 글 ; 베스 크러시 ; 조 크러시 [공]그림 ; 손영미 옮김,시공사,2008
94,마리산,우봉규 글 ; 송진헌 그림,시공주니어,2008
95,마법에 걸린 전화기,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2006
96,마음이 자라는 소리,조성자 글 ; 임소연 그림,시공주니어,2008
97,마주보고 크는 나무,조성자 글 ; 서은영 그림,시공주니어,2008
98,말박사 고장수,곽옥미 글 ; 김유대 그림,시공주니어,2008
99,멍청씨 부부이야기,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2007
100,목걸이 열쇠,황선미 글 ; 신은재 그림,시공주니어,2008
101,무툴라는 못말려！,베벌리 나이두 글 ; 피에트 그로블러 그림 ; 강미라 옮김,국민서관,2008
102,물방울 왓수의 신나는 세상여행,캐런 트래포드 글 ; 메건 에릭스 그림 ; 조현 옮김,현암사,2007
103,미라가 된 고양이,재클린 윌슨 글 ; 닉 샤랫 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
104,미리쓰는 방학일기,박상률 지음 ; 김유태 그림,사계절,2007
105,밥상의 기사들,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2008
106,벌거숭이 나라. 3-19,박상률 지음 ; 한선금 그림,시공주니어,2005
107,벌레구멍 속으로,문선이 글 ; 한수진 그림,시공주니어,2008
108,별난 재주꾼 이야기,조호상 글 ; 권사우 그림,사계절,2008
109,보리타작 하는 날,윤기현 창작동화 ; 김병하 그림,사계절,2008
110,보보의 모험,김혜리 글 ; 이형진 그림,시공주니어,2008
111,비밀수첩 . 9,린요우르,가문비어린이,2007
112,(빈둥빈둥)투닉스 왕,미라 로베 글 ; 수지 바이겔 그림 ; 조경수 옮김,시공주니어,2008
113,(빈둥빈둥)투닉스 왕,미라 로베 글 ; 수지 바이겔 그림 ; 조경수 옮김,시공주니어,2008
114,빵 들고 자는 언니,고형렬 지음 ; 강을순 그림,창비,2007
115,뽀뽀쟁이 프리더,구드룬 멥스 글 ; 로트라우트 주자나 베르너 그림 ; 문성원 옮김,시공주니어,2008
116,사랑하는 우리 삼촌,심상우 글 ; 한상언 그림,시공주니어,2008
117,산속 어린 새,김명수 지음 ; 신민재 그림,창비,2005
118,산적의 딸 로냐,아스트리드 린드그렌 글 ; 일론 비클란드 그림 ; 이진영 옮김,시공주니어,2008
119,살구는 왜 노랗게 익는 걸까,이승희 지음 ; 박세은 그림,풀그림,2007
120,새가 된 아이,홍기 지음 ; 이웅환 그림,시공주니어,2007
121,새집머리 아모스,마이클 델라니 글.그림 ; 양지연 옮김,시공주니어,2004
122,새틴 강가에서,필리퍼 피어스 글 ; 유기훈 그림 ; 햇살과나무꾼 옮김,시공주니어,2006
123,생각을 모으는 사람,모니카 페트 지음 ; 안토니 보라틴스키 그림 ; 김경연 옮김,풀빛,2007
124,샬롯의 거미줄,엘윈 브룩스 화이트 글 ; 가스 윌리엄즈 그림 ; 김화곤 옮김,시공주니어,2008
125,선생님을 이긴 날,김은영 글 ; 박형진 그림,문학동네,2008
126,소떼와 함께 춤을,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
127,소똥 경단이 최고야!,김바다 글 ; 양정아 그림,창비,2007
128,신발 속에 사는 악어,위기철 지음 ; 안미영 그림,사계절,2007
129,싸움소,이상권 글 ; 김병호 그림,시공주니어,2008
130,쌍둥이 루비와 가닛,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2008
131,아기 까치의 우산,김미혜 지음 ; 한수진 그림,창비,2007
132,아기 사슴 플랙,마저리 키난 롤링즈 지음 ; N. C. 와이즈 그림 ; 이희재 옮김,시공주니어,2008
133,아기호랑이에게 줄무늬를 그려줘,안드레이 우사초프 원작 ; 알렉산드라 융에 그림 ; 유혜자 옮김,고려원북스,2008
134,아버지와 아들,노경실 글 ; 한지희 그림,시공주니어,2007
135,"아북거, 아북거",로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2007
136,"아북거, 아북거",로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2007
137,아빠 보내기,박미라 글 ; 최정인 그림,시공주니어,2008
138,아빠에게 보내는 병 편지,후버트 쉬어네크 글 ; 멜라니 켐믈러 그림 ; 이옥용 옮김,국민서관,2005
139,아빠하고 나하고,강숙인 글 ; 허구 그림,바우솔,2007
140,아주 소중한 2등,엘렌 비냘 글 ; 레티시아 르쏘 그림 ; 김예령 옮김,국민서관,2006
141,아주 작은개 치키티토,필리퍼 피어스 글 ; 앤터니 메이틀런드 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
142,안녕 마를린,안나 피엔버그 글 ; 앤 제임스 그림 ; 류가미 옮김,국민서관,2006
143,어른들만 사는 나라,박상률 글 ; 한선금 그림,시공주니어,2008
144,어른들만 사는 나라,박상률 글 ; 한선금 그림,시공주니어,2008
145,어른들은 우리 마음 잘 몰라 . 7,윤수천,가문비어린이,2007
146,엄마 돌보기,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
147,엄마 따로 아빠 따로,임정진 글 ; 허구 그림,시공주니어,2008
148,엄지소년,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 이희재 옮김,시공주니어,2007
149,엄지 소년과 엄지 소녀,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 이희재 옮김,시공주니어,2008
150,에밀과 세 쌍둥이,에리히 캐스트너 글 ; 발터 트리어 그림 ; 장영은 옮김,시공주니어,2007
151,에밀과 탐정들,에리히 캐스트너 글 ; 발터 트리어 그림 ; 장영은 옮김,시공주니어,2008
152,여우야 여우야 어디있니 . 6,김숙분,가문비어린이,2007
153,여우와 토끼가 잘 자라고 말할 때,카트린 섀러 글.그림 ; 고은정 옮김,예림당,2008
154,오래 슬퍼하지 마,글렌 링트베드 글 ; 샬로테 파르디 그림 ; 안미란 옮김,느림보,2007
155,오톨린과 고양이부인,크리스 리들 글. 그림 ; 송주은 옮김,예림당,2008
156,요정나라 시장구경,샐리 가드너 글.그림 ; 조국현 옮김,봄봄,2007
157,우리모두 꼴찌 기러기에게 박수를,하나 요한슨 지음 ; 케티 벤트 그림 ; 문성원 옮김,시공주니어,2008
158,(우리 반 인터넷 사이트)고민의 방,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 역,시공주니어,2007
159,우리의 챔피언 대니,로알드 달 글 ; 퀸틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
