번호,서명,저자,출판사,출판년
561,별볼일 없는 4학년 : 미국장편동화,주디 블룸 지음 ; 윤여숙 옮김 ; 조미자 그림,창작과비평사,2007
562,브랜디는 사춘기,메리 터커 지음 ; 김은정 옮김,제삼기획,2006
563,"비자비아, 비자 벨",아나 마리아 마샤두 지음 ; 헤지나 욜란다 그림 ; 남진희 옮김,우리교육,2005
564,사금파리 한 조각. 1,린다 수 박 글 ; 이상희 옮김 ; 김세현 그림,서울문화사,2008
565,상계동 아이들,노경실 글 ; 김호민 그림,사계절,2008
566,아빠는 전업 주부,키르스텐 보이에 글 ; 박양규 옮김,비룡소,2008
567,(토니 모리슨이 전하는)얄미운 사람들에 관한 책,토니 모리슨 ; 슬레이드 모리슨 [공]글 ; 파스칼 르메트르 그림 ; 노경실 옮김,주니어김영사,2007
568,"어디, 뚱보 맛 좀 볼래",모카 글 ; 아나이스 보젤라드 그림 ; 최윤정 옮김,비룡소,2008
569,우리 선생님 폐하,수지 모건스턴 글 ; 카트린 르베이롤 그림 ; 이은민 옮김,비룡소,2008
570,우리를 잠 못 들게 하는 밤,크리스토프 오노레 지음 ; 그웬 르 각 그림 ; 김예령 옮김,문학과지성사,2003
571,전학간 윤주 전학온 윤주,장주식 글 ; 정문주 그림,문학동네,2006
572,제닝스는 꼴찌가 아니야,앤터니 버커리지 지음 ; 햇살과 나무꾼 옮김 ; 최정인 그림,사계절,2004
573,짝꿍,이상현 글 ; 윤정화 그림,삼성당,2007
574,천국의 아이들. 2,골람 레자 라메자니 원작 ; 김병규 글,효리원,2008
575,첫사랑,김선희 지음 ; 마상용 그림,비룡소,2008
576,파스칼의 실수,플로랑스 세이보스 글 ; 미셸 게 그림 ; 최윤정 옮김,비룡소,2008
577,하나와 두리,박진숙 지음 ; 한현주 그림,청개구리,2007
578,할머니,페터 헤르틀링 지음 ; 페터 크노르 그림 ; 박양규 옮김,비룡소,2008
579,헬로 마이 퓨처,이경근 글 ; 김재일 그림,랜덤하우스중앙,2004
580,후박나무 우리 집,고은명 지음 ; 김윤주 그림,창비,2007
581,(A)chair for my mother . 2-30,"Williams, Vera B",문진미디어,1982
582,(A)chair for my mother . 2-30,"Williams, Vera B",문진미디어,1982
583,"(A)dark, dark tale. 2-8. 2-8",by Ruth Brown,Red fox,1992
584,"(A)dark, dark tale. 2-8. 2-8",by Ruth Brown,Red fox,1992
585,(A)house for hermit crab . 3-20,"Carle, Eric",문진미디어,1987
586,(A)house for hermit crab . 3-20,"Carle, Eric",문진미디어,1987
587,"Arachne, the spider woman . 1","Pirotta, Saviour",문진미디어,2006
588,"Arachne, the spider woman . 1","Pirotta, Saviour",문진미디어,2006
589,Around the world in eighty days . 2-5 = 80일간의 세계일주,"Verne, Jules",문진미디어,2007
590,Around the world in eighty days . 2-5 = 80일간의 세계일주,"Verne, Jules",문진미디어,2007
591,Bear in sunshine,"Blackstone, Stella",문진미디어,2001
592,Bear in sunshine,"Blackstone, Stella",문진미디어,2001
593,Blue sea . 1-53,"kalan, Robert",문진미디어,1992
594,Blue sea . 1-53,"kalan, Robert",문진미디어,1992
595,Hop Jump . 1-9,"Walsh, Ellen Stoll",문진미디어,1993
596,Hop Jump . 1-9,"Walsh, Ellen Stoll",문진미디어,1993
597,Quick as a Cricket . 1-18,"Wood, Audrey",문진미디어,2009
598,It looked like spilt milk . 1-10,"Shaw, Charles G",문진미디어,1947
599,It looked like spilt milk . 1-10,"Shaw, Charles G",문진미디어,1947
600,King Midas's goldfingers . 3,"Pirotta, Saviour",문진미디어,2006
601,King Midas's goldfingers . 3,"Pirotta, Saviour",문진미디어,2006
602,Mr McGee and the perfect nest . 1-29,"Allen, Pamela",문진미디어,1999
603,Mr McGee and the perfect nest . 1-29,"Allen, Pamela",문진미디어,1999
604,My brother . 1-59,"Browne, Anthony",문진미디어,2007
605,Noah's ark . 1-10,"Cousins, Lucy",문진미디어,1993
606,Noah's ark . 1-10,"Cousins, Lucy",문진미디어,1993
607,"Pancakes, Pancakes! . 3-19","Carle, Eric",문진미디어,2004
608,"Pancakes, Pancakes! . 3-19","Carle, Eric",문진미디어,2004
609,"Panda bear, panda bear, What do you see . 1-75","Martin, Bill",문진미디어,2004
610,"Panda bear, panda bear, What do you see . 1-75","Martin, Bill",문진미디어,2004
611,(Stories of)Robots . 1-25,"Punter, Russell",문진미디어,2004
612,Teddy Bear Teddy Bear. 14. 14,Michael Hague 그림,문진미디어,2009
613,(The)Elves and the Shoemaker . 1-9,"Daynes, Katie",문진미디어,2008
614,(The)Enormous Turnip . 3-3,"Tolstoy, Alexei",문진미디어,2006
615,(The)Enormous Turnip . 3-3,"Tolstoy, Alexei",문진미디어,2006
616,(The)Gigantic Turnip,Aleksei Tolstoy ; Niamh Sharkey [공]지음,문진미디어,2005
617,(The)Gigantic Turnip,Aleksei Tolstoy ; Niamh Sharkey [공]지음,문진미디어,2005
618,(The)secret of pandof's box . 2,"Pirotta, Saviour",문진미디어,2008
619,(The)secret of pandof's box . 2,"Pirotta, Saviour",문진미디어,2008
620,(The story of)Chocolate . 27,"Daynes, Katie",문진미디어,2008
621,(The story of)Chocolate . 27,"Daynes, Katie",문진미디어,2008
622,"Wee sing children,s songs and fingerplays",Pamela Conn Beall ; Susan Hagen Nipp [공]지음 ; Nancy Spence Klein 그림,Price Stern Sloan,2008
623,Where's my Teddy . 1-10,"Alborough, Jez",문진미디어,2008
624,Silly Sally,Audrey Wood 글.그림,제이와이북스,2008
625,개구리와 두꺼비는 친구,아놀드 로벨 글.그림 ; 엄혜숙 옮김,비룡소,1999
626,(21세기)먼나라 이웃나라. 10 : 미국1: 미국인편,이원복 글·그림,김영사,2008
627,가로세로 세계사. 3 : 화려한 이슬람세계를 찾아서,이원복 글.그림,김영사,2008
628,(몰입 천재)클레멘타인,사라 페니패커 글 ; 말라 프레이지 그림 ; 원지인 옮김,보물창고,2008
629,사랑한다 내 동생 마리!,구드룬 맵스 글 ; 로트라우트 수산넨 베르너 그림 ; 유혜자 옮김,한림출판사,2008
630,(세상을 밝히는 별)양심,김경민 글 ; 정주현 그림,소담주니어,2008
631,괭이부리말 아이들. 1,김중미 지음 ; 송진헌 그림,창비,2008
632,괭이부리말 아이들. 1,김중미 지음 ; 송진헌 그림,창비,2008
633,괭이부리말 아이들. 2,김중미 지음 ; 송진헌 그림,창비,2008
634,괭이부리말 아이들. 2,김중미 지음 ; 송진헌 그림,창비,2008
635,까마귀의 소원,하이디 홀더 글.그림 ; 이명희 옮김,마루벌,2008
636,(나비박사)석주명,박상률 지음,사계절,2001
637,날아라 풀씨야,원유순 지음 ; 이상권 그림,웅진주니어,2008
638,누가 호루라기를 불어 줄까,이상락 저 ; 신혜원 그림,창비,2007
639,땅은 엄마야,이금이 글 ; 한지희 그림,푸른책들,2007
640,똘배가 보고 온 달나라,권정생...[등]지음 ; 강요배 그림,창비,2008
641,문제아,박기범 지음 ; 박경진 그림,창비,2008
642,문제아,박기범 지음 ; 박경진 그림,창비,2008
643,사자왕 형제의 모험,아스티리드 린드그렌 지음 ; 김경희 옮김,창비,2008
644,세상에서 제일 힘센 수탉,이호백 글 ; 이억배 그림,재미마주,2008
645,(소녀들의 끼를 살려주는)재능백과,박영란 지음 ; 전영신 그림,글송이,2008
646,소년병과 들국화,남미영 글 ; 정수영 그림,세상모든책,2008
647,악어클럽,막스 폰 데어 그륀 지음 ; 정지창 옮김 ; 신가영 그림,창비,2008
648,안녕 할아버지,엘피 도넬리 지음 ; 차경아 옮김,창비,2007
649,(청년 노동자)전태일,위기철 지음 ; 안미영 그림,사계절,2008
650,제각기 자기 색깔,레오 리오니 지음 ; 김영무 옮김,분도출판사,2007
651,할아버지 요강,임길택 시 ; 이태수 그림,보리,2008
652,할아버지는 수레를 타고,구드룬 파우제방 글 ; 잉게 쉬타이네케 그림 ; 햇살과 나무꾼 옮김,비룡소,2008
653,"달려라, 그림책버스",김서정...[등]글 ; 한성옥...[등]그림,문학과지성사,2004
654,백지위의 검은 것,미하일 일리인 글 ; 박수현 엮음,아이세움,2008
655,건방진 도도군,강정연 글 ; 소윤경 그림,비룡소,2008
656,검은 여우,베치 바이어스 글 ; 햇살과 나무꾼 옮김 ; 김우선 그림,사계절,2008
657,골목길 아이들,이브 가넷 글.그림 ; 부수영 옮김,길벗어린이,2006
658,"그런데요, 생태계가 뭐예요",김성화 ; 권수진 [공]글 ; 조위라 그림,토토북,2008
659,그림자 개,말라 다얄 엮음 ; 이화경 옮김 ; 이잔따 구하타꾸르타...[등]그림,창비,2008
660,(그림자를 판)페터 슐레밀,아델베르트 폰 사미소 글 ; 채기수 그림 ; 배인섭 옮김,아롬주니어,2008
661,(그림자를 판)페터 슐레밀,아델베르트 폰 사미소 글 ; 채기수 그림 ; 배인섭 옮김,아롬주니어,2008
662,기찻길 옆 동네. 1,김남중 지음 ; 류충렬 그림,창비,2008
663,기찻길 옆 동네. 2,김남중 지음 ; 류충렬 그림,창비,2008
664,꼬마 옥이,이원수 지음 ; 이만익 그림,창비,2008
665,꽃신,이경자 지음 ; 박숙경 옮김 ; 오오니시 미소노 그림,창비,2008
666,"나야 나, 보리",문영숙 글 ; 하현이 그림,영림카디널,2007
667,나온의 숨어 있는 방,황선미 지음 ; 김윤주 그림,창비,2006
668,나의 린드그렌 선생님,유은실 지음 ; 권사우 그림,창비,2008
669,난 뭐든지 할 수 있어,아스트리드 린드그렌 지음 ; 강일우 옮김,창비,2008
670,날개달린 아저씨,이현주 지음 ; 김용선 그림,창비,2008
671,내 가슴에 해마가 산다,김려령 글 ; 노석미 그림,문학동네,2008
672,내 얼룩무늬 못 봤니,선안나 글 ; 이형진 그림,느림보,2008
673,내 이름은 개,김리리 글 ; 정문주 그림,비룡소,2008
674,내 주머니 속의 괴물,그라시엘라 몬테스 글 ; 배상희 옮김 ; 최정인 그림,푸른숲,2008
675,내 이름은 데셰,요커 판 레이우엔 글.그림 ; 문성원 옮김,비룡소,2008
676,내친구 고슴도치,문선이 글 ; 윤정주 그림,푸른숲,2008
677,너하고 안 놀아,현덕 지음 ; 원종찬 엮음 ; 송진헌 그림,창비,2008
678,네 편이 되어 줄게,이영옥 글 ; 홍선주 그림,산하,2006
679,누가누가 잠자나,목일신 지음 ; 이준섭 그림,문학동네,2008
680,니가 어때서 그카노,남찬숙 지음 ; 이혜란 그림,사계절,2006
681,댕댕이 할멈 바위,손동인 ; 이준연 ; 최인학 [공]엮음,사계절,2009
682,도들마루의 깨비,이금이 지음 ; 김재홍 그림,푸른책들,2004
683,둥글이 누나,권영상 지음 ; 허구 그림,사계절,2008
684,또야 너구리의 심부름,권정생...[등]지음 ; 원종찬 ; 김경연 [공]엮음,창비,2008
685,마티유의 까만색 세상,질 티보 글 ; 장 베르네슈 그림 ; 이정주 옮김,어린이작가정신,2008
686,만국기 소년,유은실 지음 ; 정성화 그림,창비,2008
687,먹구렁이 기차,권정생 지음 ; 유승하 그림,우리교육,2008
688,메아리 소년,이원수 지음 ; 이정규 그림,창비,2008
689,멧돼지가 기른 감나무,이상권 지음 ; 김성민 그림,사계절,2008
690,명혜,김소연 글 ; 장호 그림,창비,2008
691,못나도 울엄마,이주홍 지음 ; 이은천 그림,창비,2008
692,못믿겠다고,루이스 새커 지음 ; 윤소연 그림 ; 박수현 옮김,바람의 아이들,2007
693,무민 골짜기에 나타난 혜성,토베 얀손 지음 ; 햇살과나무꾼 옮김,소년한길,2008
694,미나마타의 붉은 바다,하라다 마사즈미 지음 ; 오애영 옮김,우리교육,2008
695,민들레의 노래. 1,이원수 지음 ; 양상용 그림,사계절,2008
696,민들레의 노래. 2,이원수 지음 ; 양상용 그림,사계절,2009
697,바닷가 아이들,권정생 지음 ; 박불똥 그림,창비,2008
698,바리왕자,송언 지음 ; 김용철 그림,사계절,2007
699,바보 마을의 영웅,송미루 편역,창비,2008
700,반지 엄마,백승남 글 ; 김재홍 그림,한겨레아이들,2008
701,백두산정계비의 비밀,김병렬 지음 ; 고광삼 그림,사계절,2008
702,백범 김구,신경림 지음 ; 이철수 그림,창비,2008
703,밴드마녀와 빵공주,김녹두 글 ; 이지선 그림,한겨레아이들,2008
704,보이지 않는 적,아베 나쯔마루 지음 ; 햇살과나무꾼 옮김 ; 정지혜 그림,창비,2008
705,북극곰도 모르는 북극 이야기,박지환 글 ; 김미경 그림,토토북,2008
706,비밀 학교,애비 지음 ; 김난령 옮김,열린어린이,2008
707,사과나무밭 달님,권정생 지음 ; 정승희 그림,창비,2008
708,사금파리 한 조각. 2,린다 수 박 글 ; 이상희 옮김 ; 김세현 그림,서울문화사,2008
709,사슴과 사냥개,마해송 지음 ; 김호민 그림,창비,2008
710,산골마을 아이들,임길택 지음 ; 이혜주 그림,창비,2008
711,흐린 후 차차 갬,김선희 지음,비룡소,2008
712,최무선,김종렬 글 ; 이경석 그림,비룡소,2008
713,강감찬,한정기 글 ; 이홍기 그림,비룡소,2009
714,헨리 포드,피터 켄트 글.그림 ; 이원경 그림,비룡소,2009
715,샘마을 몽당깨비,황선미 [지음] ; 김성민 그림,창비,2008
716,생명이 들려준 이야기,위기철 지음 ; 이희재 그림,사계절,2008
717,성난수염,마해송 지음,우리교육,2008
718,세상에서 제일 힘센 수탉,이호백 글 ; 이억배 그림,재미마주,2008
719,소금 장수의 재주,김창완 지음 ; 김아영 그림,창비,2008
720,손바닥에 쓴 글씨,김옥 지음 ; 이은천 그림,창비,2008
721,수수께끼 아이,E.T.A. 호프만 글 ; 리스베트 츠베르거 그림 ; 김경연 옮김,책그릇,2008
722,신통방통 왕집중,전경남 글 ; 김용연 그림,문학동네,2008
723,씨앗을 지키는 사람들,안미란 지음 ; 윤정주 그림,창비,2008
724,씨앗을 지키는 사람들,안미란 지음 ; 윤정주 그림,창비,2008
725,아기 사슴 플랙. 1,마저리 키난 롤링즈 지음 ; N. C. 와이즈 그림 ; 이희재 옮김,시공주니어,2008
726,아름다운 고향,이주홍 지음 ; 손장섭 그림,창비,2008
727,"안녕, 캐러멜!",곤살로 모우레 글 ; 페르난도 마르틴 고도이 그림 ; 배상희 옮김,김영사,2007
728,야구빵 장수,방정환...[등]지음 ; 교육 문예 창작회 엮음 ; 남궁 산 그림,창비,2004
729,야시골 미륵이,김정희 지음 ; 이선주 그림,사계절,2008
730,어여쁜 바실리사,아파나쎼프 글 ; 김녹양 옮김.그림,창비,2007
731,엉뚱이 소피의 못 말리는 패션,수지 모건스턴 글.그림 ; 최윤정 옮김,비룡소,2009
732,연이와 버들잎 소년,이원수 ; 손동인 [공]엮음 ; 김아영 그림,창비,2008
733,열평 아이들,원유순 지음 ; 김세현 그림,창비,2008
734,오늘은 우리집 김장하는 날,채인선 글 ; 방정화 그림,보림,2006
735,옥수수가 익어가요,도로시 로즈 글 ; 장 샤를로 그림 ; 우석균 옮김,열린어린이,2008
736,왕이 된 소금장수 을불이,조호상 글 ; 김용선 그림,산하,2008
737,(어린이를 위한)우리 겨레 수학 이야기,안소정 글 ; 이연수 그림,산하,2008
738,우리 오빠는 조금 다를 뿐이야！,호시 아카리 글 ; 장민정 그림 ; 노래하는 나무 옮김,꿈터,2006
739,(계절 따라 읽는)우리 풍습 이야기,표시정 글 ; 김영곤 그림,다산교육,2009
740,(웨이싸이드 학교)별난 아이들,루이스 쌔커 지음 ; 김영선 옮김 ; 김중석 그림,창비,2008
741,잃어버린 겨울 방학,이소완 글 ; 양상용 그림,소년한길,2008
742,자존심,김남중 글 ; 이형진 그림,창비,2008
743,장건우한테 미안합니다,이경화 지음,바람의 아이들,2008
744,조주먹과 살살이 방귀,송언 글 ; 조가연 그림,파랑새,2008
745,좋은 엄마 학원,김녹두 글 ; 김용연 그림,문학동네,2009
746,지엠오 아이,문선이 지음 ; 유준재 그림,창비,2008
747,진달래가 된 소년,연변 민간문학 연구회 엮음 ; 김미미 옮김 ; 임향한 그림,창비,2008
748,집없는 아이,엑토르 말로 원작 ; 고계영 엮음 ; 이명선 그림,지경사,2008
749,짜장 짬뽕 탕수육,김영주 글 ; 고경숙 그림,재미마주,2008
750,짜장 짬뽕 탕수육,김영주 글 ; 고경숙 그림,재미마주,2008
751,짜장면 불어요!,이현 지음 ; 윤정주 그림,창비,2008
752,짜장면 불어요!,이현 지음 ; 윤정주 그림,창비,2008
753,쩌우 까우 이야기,김기태 편역,창비,2007
754,책은 어떻게 만들까요,알리키 글.그림 ; 서애경 옮김,비룡소,2008
755,천하으뜸 우리 미술 여행,김소연 글 ; 심가인 그림,한솔수북,2008
756,철가방을 든 독갭이,안미란 지음 ; 전필식 그림,채우리,2008
757,초정리편지,배유안 지음 ; 홍선주 그림,창비,2008
758,칠칠단의 비밀,방정환 지음 ; 김병하 그림,사계절,2008
759,톡톡 할아버지,이주홍 지음 ; 권문희 그림,우리교육,2008
760,통발신을 신었던 누렁소,문재홍...[등]지음 ; 이오덕 엮음,사계절,2007
761,(통일 할아버지)문익환,김남일 지음 ; 김병하 그림,사계절,2008
762,파브르 식물 이야기. 1,장 앙리 파브르 지음 ; 이상권 풀어씀 ; 이상권 그림,우리교육,2007
763,하늘로 날아간 집오리,장양선 그림,창비,2008
764,하늘天 따地,최명란 시 ; 김선배 그림,비룡소,2007
765,할머니를 따라간 메주,오승희 지음 ; 이은천 그림,창비,2007
766,할머니의 비밀,장 프랑수아 샤바스 지음 ; 김주열 옮김 ; 변영미 그림,창비,2008
767,할아버지의 아주 특별한 여행,아구스틴 코모토 글.그림 ; 송병선 옮김,주니어파랑새,2006
768,함지박을 쓴 소녀,김인하 편역,창비,2008
769,해야 해야 잠꾸러기 해야,이연경 지음,바람의아이들,2007
770,행복한 파스타 만들기,샤론 크리치 글 ; 김영진 옮김,비룡소,2008
771,호리병 밖에서 나온 아가씨,민영 편역,창비,2008
772,호비트 . 1,"톨킨, 존 로널드",시공주니어,2002
773,호비트. 2,존 로널드 톨킨 글.그림 ; 김석희 옮김,시공주니어,2009
774,화요일의 두꺼비,러셀 에릭슨 지음 ; 햇살과나무꾼 옮김 ; 김종도 그림,사계절,2007
775,화장실에 사는 두꺼비,김리리 글 ; 오정택 그림,문학동네,2008
776,(플라톤이 들려주는)이데아 이야기,서정욱 지음,자음과모음,2008
777,(아리스토텔레스가 들려주는)행복 이야기,서정욱 지음,자음과모음,2007
778,(최한기가 들려주는)기학 이야기,이종란 지음,자음과모음,2007
779,(한나 아렌트가 들려주는)전체주의 이야기,김선욱 지음,자음과모음,2007
780,(맹자가 들려주는)대장부 이야기,임옥균 지음,자음과모음,2007
781,(칸트가 들려주는)순수 이성 비판 이야기,박영욱 지음,자음과모음,2007
782,(이이가 들려주는)이통 기국 이야기,이종란 지음,자음과모음,2009
783,(홉스가 들려주는)리바이어던 이야기,서정욱 지음,자음과모음,2009
784,(공자가 들려주는)인 이야기,이명수 지음,자음과모음,2008
785,(정약용이 들려주는)경학 이야기,이종란 지음,자음과모음,2007
786,(소크라테스가 들려주는)지혜 이야기,서정욱 지음,자음과모음,2008
787,(벤담이 들려주는)최대 다수의 최대 행복 이야기,서정욱 지음,자음과모음,2008
788,(왕수인이 들려주는)양지 이야기,이종란 지음,자음과모음,2009
789,(헤겔이 들려주는)정신 이야기,박해용 지음,자음과모음,2009
790,(그람시가 들려주는)헤게모니 이야기,윤민재 지음,자음과모음,2007
791,(프로이트가 들려주는)마음 이야기,심옥순 지음,자음과모음,2006
792,(묵자가 들려주는)겸애 이야기,윤무학 지음 ; 박기종 그림,자음과모음,2006
793,(니체가 들려주는)슈퍼맨 이야기,강용수 지음,자음과모음,2006
794,(예수가 들려주는)십자가 이야기,오채환 지음,자음과모음,2006
795,(뒤르켐이 들려주는)자살론 이야기,윤민재 지음,자음과모음,2006
796,(밀이 들려주는)자유주의 이야기,서정욱 지음,자음과모음,2007
797,(토마스 아퀴나스가 들려주는)신앙이야기,강영계 지음,자음과모음,2007
798,(퇴계 이황이 들려주는)경 이야기,이명수 지음,자음과모음,2009
799,(데카르트가 들려주는)의심 이야기,김익현 지음,자음과모음,2007
800,(로크가 들려주는)타불라라사 이야기,서정욱 지음,자음과모음,2006
801,(한비자가 들려주는)상과 벌 이야기,임옥균 지음,자음과모음,2007
802,(제논이 들려주는)논리 이야기,오채환 지음,자음과모음,2006
803,(아우구스티누스가 들려주는)신의 사랑 이야기,박해용 지음,자음과모음,2007
804,(주희가 들려주는)성리학 이야기,이종란 지음,자음과모음,2009
805,(순자가 들려주는)마음 닦는 이야기,윤무학 지음,자음과모음,2006
806,(모택동이 들려주는)건국 이야기,이철승 지음,자음과모음,2007
807,(루소가 들려주는)교육 이야기,강영계 지음,자음과모음,2007
808,(가다머가 들려주는)선입견 이야기,조극훈 지음,자음과모음,2007
809,(비트겐슈타인이 들려주는)언어 이야기,박해용 지음,자음과모음,2008
810,(막스 베버가 들려주는)카리스마 이야기,오채환 지음,자음과모음,2007
811,(키르케고르가 들려주는)죽음에 이르는 병 이야기,김선욱 지음,자음과모음,2007
812,(노자가 들려주는)도 이야기,박소정 지음,자음과모음,2007
813,(쇼펜하우어가 들려주는)의지 이야기,강용수 지음,자음과모음,2007
814,(복희씨가 들려주는)주역이야기,최영진 지음,자음과모음,2007
815,(토크빌이 들려주는)민주주의 이야기,윤민재 지음,자음과모음,2008
816,(에리히 프롬이 들려주는)사랑 이야기,오채환 지음,자음과모음,2009
817,(애덤 스미스가 들려주는)보이지 않는 손 이야기,서정욱 지음,자음과모음,2008
818,(탈레스가 들려주는)아르케 이야기,서정욱 지음,자음과모음,2007
819,(토머스 쿤이 들려주는)패러다임 이야기,오채환 지음,자음과모음,2007
820,(박지원이 들려주는)이용후생 이야기,이종란 지음,자음과모음,2007
821,(사르트르가 들려주는)실존 이야기,심옥숙 지음,자음과모음,2007
822,(베이컨이 들려주는)우상 이야기,강영계 지음,자음과모음,2007
823,(신채호가 들려주는)자강론 이야기,이종란 지음,자음과모음,2007
824,(콩트가 들려주는)실증주의 이야기,윤민재 지음,자음과모음,2007
825,(고봉 기대승이 들려주는)사단칠정 이야기,이명수 지음,자음과모음,2007
826,(마호메트가 들려주는)평화 이야기,오채환 지음,자음과모음,2007
827,(데리다가 들려주는)해체 이야기,서정욱 지음,자음과모음,2007
828,(리쾨르가 들려주는)해석 이야기,강영계 지음,자음과모음,2007
829,(흄이 들려주는)원인과 결과 이야기,박해용 지음,자음과모음,2007
830,(맥루한이 들려주는)미디어 이야기,강용수 지음,자음과모음,2007
831,(장자가 들려주는)달인 이야기,박소정 지음,자음과모음,2007
832,(화이트헤드가 들려주는)과정 이야기,서정욱 지음,자음과모음,2008
833,(주돈이가 들려주는)태극 이야기,이명수 지음,자음과모음,2008
834,(듀이가 들려주는)실용주의 이야기,강영계 지음,자음과모음,2008
835,(존 롤즈가 들려주는)정의 이야기,오채환 지음,자음과모음,2008
836,(스피노자가 들려주는)윤리 이야기,김익현 지음,자음과모음,2008
837,(파스칼이 들려주는)갈대 이야기,강영계 지음,자음과모음,2008
838,(포이어바흐가 들려주는)인간 이야기,강영계 지음,자음과모음,2008
839,(오캄이 들려주는)면도날 이야기,오채환 지음,자음과모음,2008
840,(피터 싱어가 들려주는)동물 해방 이야기,김익현 지음,자음과모음,2008
841,(베르그송이 들려주는)삶이야기,강영계 지음,자음과모음,2008
842,(공손룡이 들려주는)이름 이야기,윤무학 지음,자음과모음,2008
843,(융이 들려주는)콤플렉스 이야기,오채환 지음,자음과모음,2008
844,(러셀이 들려주는)지식 이야기,오채환 지음,자음과모음,2008
845,(에피쿠로스가 들려주는)쾌락 이야기,박해용 지음,자음과모음,2008
846,(하이데거가 들려주는)존재 이야기,조극훈 지음,자음과모음,2008
847,(레오 스트라우스가 들려주는)정치 이야기,육혜원 지음,자음과모음,2008
848,(박은식이 들려주는)진아 이야기,박정심 지음,자음과모음,2008
849,(딜타이가 들려주는)이해 이야기,강영계 지음,자음과모음,2008
850,(자크 라캉이 들려주는)욕망 이야기,양해림 지음,자음과모음,2008
851,(강유위가 들려주는)대동大同 이야기,이연도 지음 ; 최은화 그림,자음과모음,2008
852,(후설이 들려주는)현상 이야기,조극훈 지음,자음과모음,2008
853,(신사임당이 들려주는)효행과 예술 이야기,조지형 지음,자음과모음,2008
854,(피타고라스가 들려주는)수 이야기,서정욱 지음,자음과모음,2008
855,(카시러가 들려주는)상징 이야기,서정욱 지음,자음과모음,2008
856,(베르누이가 들려주는)확률분포 이야기,김승태 지음,자음과모음,2008
857,도대체 넌 뭐가 될 거니,황선미 글 ; 선현경 그림,비룡소,2009
858,알렉산드리아의 족장,빌헬름 하우프 지음 ; 김희상 옮김 ; 배정식 그림,을파소,2009
859,해인사 고려대장경과 장경판전,박상국 글 ; 이제호 그림,스쿨김영사,2008
860,울릉도와 독도,이재완 ; 김한승 [공]글 ; 민경미 ; 권성환 [공]그림,스쿨김영사,2008
861,지도,대동역사기행 글 ; 유남영 그림,스쿨김영사,2008
862,한양도성,나각순 글 ; 서은경 그림,스쿨김영사,2008
863,비무장 지대,김훈이 글 ; 장동일 그림,스쿨김영사,2008
864,대별왕 소별왕,한태희 글.그림,한림출판사,2008
865,미생물 실험실이 수상해!,정미금 글 ; 김슬기 그림,한솔수북,2009
866,국악 마을 대금이 사라졌다！,김경희 글 ; 신이난 그림,한솔수북,2008
867,아주 특별한 상상 발전소 영화,유혜정 지음 ; 정다이 그림,한솔수북,2008
868,"고마워 성, 반가워 사춘기",정미금 글 ; 황미선 그림,한솔수북,2008
869,(천사와 악마가 말하는)세상을 발칵 뒤집은 전쟁,서인영 글 ; 이유나 그림,한솔수북,2006
870,1940년 열두살 동규,손연자 지음 ; 김산호 그림,계수나무,2009
871,넬슨 만델라,앤 크레이머 글 ; 김석희 옮김,어린이작가정신,2008
872,20인의 수학자 편지,고수유 글 ; 김준영 그림,거인,2008
873,6층집에서 말을타고 또각또각,제랄딘 매커린 글 ; 김유경 그림 ; 서남희 옮김,문학동네,2008
874,감자꽃,권태응 지음 ; 송진헌 그림,창비,2008
875,거울 속의 아이들,MBC W 제작진 원작 ; 김정연 ; 최이정 [공]글 ; 김준영 그림,아롬주니어,2008
876,경복궁에서의 왕의 하루,청동말굽 기획.글 ; 박동국 그림,문학동네,2008
877,(서양 산업의 역사를 바꾼)고래 이야기,마크 포스터 글 ; 제럴드 포스터 그림 ; 장석봉 옮김,미래아이,2008
878,(교과서에 나오는)유네스코 세계문화유산. 2 : 유럽,이형준 글.사진,시공사,2009
879,궁녀 학이,문영숙 글 ; 이승원 그림,문학동네,2008
880,귀신고래,김일광 지음 ; 장호 그림,내인생의책,2008
881,길자씨가 진짜 엄마,김진경 글 ; 이형진 그림,문학동네,2008
882,나는 어떤 어른이 될까요,한경심 글 ; 이강훈 그림,토토북,2008
883,낙타굼,박기범 글 ; 오승민 그림,낮은산,2008
884,남극에서 온 편지,한정기 글 ; 유기훈 그림,비룡소,2008
885,너 내가 그럴 줄 알았어,김용택 지음 ; 이혜란 그림,창비,2008
886,도깨비 대장이 된 훈장님,장수명 글씀 ; 한병호 그림,한림출판사,2008
887,돌도끼에서 우리별 3호까지,전상운 글 ; 이상규 그림,아이세움,2008
888,똥 찾아가세요,권오삼 시 ; 오정택 그림,문학동네,2009
889,ㄹ받침 한 글자,김은영 지음 ; 김수현 그림,사계절,2009
890,ㄹ받침 한 글자,김은영 지음 ; 김수현 그림,사계절,2009
891,멸종동물 얘기 좀 들어볼래,서해경 ; 이소영 [공]글 ; 김중석 그림,토토북,2009
892,명화로 보는 그림이야기,애비게일 위틀리 글 ; 우베 메이어 ; 이안 맥니 [공]그림 ; 김순희 옮김,시공주니어,2008
893,모자 쓴 고양이 따로,오은영 지음 ; 김준영 그림,교학사,2009
894,무지개색 초콜릿,배봉기 지음 ; 전민옥 그림,바람의아이들,2008
895,바람따라 꽃잎따라,김근희 지음,웅진주니어,2008
